name,sex,event,equipment,age,age_class,division,bodyweight_kg,weight_class_kg,best3squat_kg,best3bench_kg,best3deadlift_kg,place,date,federation,meet_name
Alexey Golikov,M,SBD,Single-ply,21.5,20-23,Juniors,118.8,125,335,210,280,2,1994-06-18,IPF,World Juniors Powerlifting Championships
Kenji Nakama,M,SBD,Raw,40.5,40-44,Masters 1,71.79,74,155,125,190,10,2015-06-05,IPF,World Classic Powerlifting Championships
Yuliya Marinenko,F,SBD,Raw,23,20-23,Open,83.15,84,NA,75,185,DQ,2019-06-04,IPF,World Classic Powerlifting Championships
Yulia Medvedeva,F,SBD,Single-ply,30.5,24-34,Heavy,63.21,72,205,152.5,170,8,2017-07-24,IPF,World Games
Laurie MacDonald,F,B,Raw,53,50-54,Masters 2,78.7,84,NA,77.5,NA,2,2016-05-15,IPF,World Classic Bench Press Championships
Werner Friedl,M,B,Raw,35.5,35-39,Open,110.4,100+,NA,210,NA,1,2000-12-08,IPF,World Disabled Bench Press Championships
Chen-Yeh Chao,F,SBD,Single-ply,28,24-34,Open,109,90+,255,170,215,2,2000-05-24,IPF,Women's World Powerlifting Championships
Nikita Kabyldinov,M,B,Raw,17.5,18-19,Sub-Juniors,73.57,74,NA,165,NA,1,2018-05-14,IPF,World Classic Bench Press Championships
Martin Lesk,M,SBD,Single-ply,21.5,20-23,Juniors,134.6,125+,310,210,295,5,1996-08-07,IPF,World Juniors Powerlifting Championships
Sergiy Romanenko,M,SBD,Single-ply,NA,NA,Open,81.7,82.5,300,162.5,290,6,1995-11-15,IPF,Men's World Powerlifting Championships
Michael Amey,M,SBD,Single-ply,59.5,55-59,Masters 3,74.4,75,210,112.5,225,2,2009-09-28,IPF,World Masters Powerlifting Championships
Leena Jokitalo,F,SBD,Single-ply,31.5,24-34,Open,47.6,48,137.5,60,150,5,1993-11-27,IPF,World Powerlifting Championships
Alex Galant,M,SBD,Single-ply,50.5,50-54,Masters 2,51.4,52,142.5,85,172.5,1,1998-10-06,IPF,World Masters Powerlifting Championships
Sigve Valentinsen,M,SBD,Single-ply,47.5,45-49,Masters 1,82.3,82.5,292.5,197.5,277.5,3,2008-09-30,IPF,World Masters Powerlifting Championships
Jorma Liimatainen,M,B,Single-ply,62.5,60-64,Masters 3,81.29,83,NA,152.5,NA,5,2016-04-19,IPF,World Bench Press Championships
Pavel Schauer,M,SBD,Single-ply,46.5,45-49,Masters 1,72.8,75,187.5,107.5,195,10,1998-10-06,IPF,World Masters Powerlifting Championships
Tshepo Mulaudzi,M,SBD,Raw,17.5,18-19,Sub-Juniors,50.35,53,100,72.5,142.5,3,2019-06-04,IPF,World Classic Powerlifting Championships
Kazuya Yanagida,M,B,Single-ply,36,35-39,Open,51.5,52,NA,152.5,NA,3,1999-12-09,IPF,World Bench Press Championships
Kari Mattila,M,SBD,Single-ply,59.5,55-59,Masters 3,89.6,90,230,152.5,260,1,2005-10-04,IPF,World Masters Powerlifting Championships
Arsenii Hildenberh,M,SBD,Single-ply,17.5,18-19,Sub-Juniors,65.3,66,210,130,217.5,4,2014-09-01,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Socorro Perez,F,SBD,Single-ply,56.5,55-59,Open,60.29,63,80,100,125,15,2016-11-14,IPF,World Open Championships
Dylan Davies,M,SBD,Single-ply,45.5,45-49,Masters 1,119.9,120,245,170,260,6,2017-10-01,IPF,World Masters Powerlifting Championships
Josef Mička,M,SBD,Single-ply,44.5,40-44,Masters 1,97.2,100,275,180,290,4,1994-10-19,IPF,World Masters Powerlifting Championships
Günter Lüdecke,M,SBD,Single-ply,63.5,60-64,Masters 3,82.42,83,200,145,215,4,2012-10-02,IPF,World Masters Powerlifting Championships
Yong-Soo Lee,M,SBD,Single-ply,38.5,35-39,Open,74.5,75,200,NA,NA,DQ,2000-11-15,IPF,Men's World Powerlifting Championships
Romain Picot-Guéraud,M,SBD,Raw,25.5,24-34,Open,82.2,83,255,162.5,275,3,2013-06-11,IPF,World Classic Powerlifting Championships
Sandra Tran,F,SBD,Raw,22.5,20-23,Juniors,39.32,43,92.5,50,105,2,2018-06-06,IPF,6th World Classic Championships
Tomoko Miyamoto,F,B,Single-ply,45.5,45-49,Masters 1,50.96,52,NA,100,NA,1,2013-04-18,IPF,World Masters Bench Press Championships
Niilo Maliniemi,M,B,Single-ply,57.5,55-59,Masters 2,115.8,125,NA,220,NA,2,2004-04-21,IPF,World Masters Bench Press Championships
Artem Zaitsev,M,SBD,Raw,29.5,24-34,Open,82.6,83,260,167.5,300,2,2015-06-05,IPF,World Classic Powerlifting Championships
Anatolii Goriachok,M,SBD,Single-ply,34.5,24-34,Open,73.54,74,300,197.5,323,3,2014-11-03,IPF,World Powerlifting Championships
Laird Ross,M,SBD,Single-ply,17.5,18-19,Sub-Juniors,81,82.5,220,165,212.5,4,2009-09-07,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Antoni Mastrolorenzo,M,SBD,Single-ply,29.5,24-34,Open,72.76,74,290,192.5,240,8,2012-11-10,IPF,World Powerlifting Championships
Bjørn Larsen,M,SBD,Single-ply,NA,NA,Masters 1,75,75,220,125,250,4,1986-10-03,IPF,World Masters Powerlifting Championships
Frank Heinrich,M,B,Single-ply,48.5,45-49,Masters 1,82.4,82.5,NA,210,NA,1,2007-09-12,IPF,World Masters Bench Press Championships
Vladimír Urban,M,B,Single-ply,32.5,24-34,Open,81.6,82.5,NA,222.5,NA,3,2006-05-23,IPF,World Bench Press Championships
Renaldo Rossetti,M,B,Single-ply,51.5,50-54,Masters 2,152.76,120+,NA,242.5,NA,4,2012-04-20,IPF,World Masters Bench Press Championships
Fabrice Bertin,M,B,Single-ply,49,45-49,Masters 1,82.59,83,NA,217.5,NA,6,2016-04-19,IPF,World Bench Press Championships
Jie-Wen Chen,F,SBD,Single-ply,23.5,24-34,Open,124.48,84+,NA,155,195,DQ,2014-11-03,IPF,World Powerlifting Championships
Samantha Edgar,F,SBD,Raw,17.5,18-19,Open,82.38,84,132.5,55,155,8,2018-07-09,IPF,3rd World University Powerlifting Cup
Djoni Grgic,M,SBD,Single-ply,22.5,20-23,Juniors,89.2,90,270,147.5,285,12,2001-09-11,IPF,World Juniors Powerlifting Championships
Ilkka Ala-Luopa,M,SBD,Raw,22.5,20-23,Juniors,58.9,59,162.5,110,197.5,6,2016-06-19,IPF,World Classic Powerlifting Championships
Jeff Edwards,M,B,Single-ply,36.5,35-39,NA,89.3,90,NA,205,NA,9,1993-12-12,IPF,World Bench Press Championships
Lars Björck,M,SBD,Wraps,NA,NA,Open,81.2,82.5,245,170,275,5,1976-11-06,IPF,Men's World Powerlifting Championships
Marleen Nelis,F,SBD,Single-ply,28.5,24-34,Open,67.4,67.5,165,105,192.5,5,1993-11-27,IPF,World Powerlifting Championships
Rennie Soffe,M,B,Single-ply,49,45-49,Masters 2,89.3,90,NA,197.5,NA,2,2009-04-15,IPF,World Masters Bench Press Championships
Sue Mackness,F,SBD,Single-ply,NA,NA,Open,67.5,67.5,135,70,155,11,1985-06-01,IPF,Women's World Powerlifting Championships
Andrey Konovalov #1,M,SBD,Single-ply,29,24-34,Open,160.95,120+,470,357.5,350,1,2015-11-09,IPF,World Powerlifting Championships
Sara Cowan,F,SBD,Raw,20.5,20-23,Juniors,83.4,84,197.5,110,212.5,1,2016-06-19,IPF,World Classic Powerlifting Championships
Tetiana Bilousova,F,B,Raw,40.5,40-44,Open,101.4,84+,NA,115,NA,2,2016-05-15,IPF,World Classic Bench Press Championships
Mike Mastrean,M,SBD,Single-ply,37,35-39,Open,109.12,110,385,232.5,340,3,2008-10-30,IPF,World Powerlifting Championships
Mikhail Zargarian,M,SBD,Single-ply,39.5,35-39,Masters 1,81.9,82.5,240,140,240,14,1997-10-14,IPF,World Masters Powerlifting Championships
Ron Forman,M,SBD,Single-ply,51.5,50-54,Masters 2,88.5,90,207.5,135,250,8,1995-10-03,IPF,World Masters Powerlifting Championships
Keila Guerrero,F,SBD,Single-ply,19.5,20-23,Juniors,68.3,75,177.5,90,170,4,2009-09-07,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Oscar Soria,M,SBD,Single-ply,51.5,50-54,Masters 2,166.6,125+,310,185,292.5,1,2000-10-17,IPF,World Masters Powerlifting Championships
Mick King,M,B,Single-ply,53.5,50-54,Masters 2,120.3,125,NA,220,NA,3,2004-04-21,IPF,World Masters Bench Press Championships
Jan Monstad,M,SBD,Single-ply,58.5,55-59,Masters 2,110,110,190,70,225,3,1992-09-03,IPF,World Masters Powerlifting Championships
Hisayuki Nakayama,M,B,Single-ply,46,45-49,Open,59,60,NA,197.5,NA,2,2009-05-27,IPF,World Bench Press Championships
Petr Szalacsi,M,B,Raw,43.5,40-44,Open,68.5,75,NA,100,NA,4,2000-12-08,IPF,World Disabled Bench Press Championships
Angela Hermanson,F,SBD,Single-ply,17.5,18-19,Open,66.5,67.5,147.5,82.5,130,11,1997-06-18,IPF,Women's World Powerlifting Championships
