name,sex,event,equipment,age,age_class,division,bodyweight_kg,weight_class_kg,best3squat_kg,best3bench_kg,best3deadlift_kg,place,date,federation,meet_name
Rakesh Kumar #2,M,SBD,Single-ply,NA,NA,NA,51.8,52,170,95,180,8,1990-11-14,IPF,Men's World Powerlifting Championships
Miro Koprnicky,M,B,Single-ply,51.5,50-54,Masters 2,88.5,90,NA,150,NA,6,2003-04-16,IPF,World Masters Bench Press Championships
Jackie Blasbery,F,SBD,Single-ply,22,20-23,Open,56,56,137.5,57.5,160,7,1986-05-08,IPF,Women's World Powerlifting Championships
Lkhagwa Sharaw,M,SBD,Single-ply,54.5,50-54,Masters 2,52.09,56,90,40,110,2,2010-09-27,IPF,World Masters Championships
Timo Lillbacka,M,B,Single-ply,41.5,40-44,Masters 1,104.5,105,NA,150,NA,7,2017-05-22,IPF,World Bench Press Championships
Szymon Glowienke,M,B,Single-ply,15.5,16-17,Sub-Juniors,71.5,74,NA,137.5,NA,5,2013-05-20,IPF,World Bench Press Championships
Jiří Horník,M,B,Single-ply,55.5,55-59,Masters 2,97,100,NA,160,NA,8,2004-04-21,IPF,World Masters Bench Press Championships
Olexandr Chernyshov,M,B,Single-ply,26.5,24-34,NA,66.5,67.5,NA,162.5,NA,6,1993-12-12,IPF,World Bench Press Championships
Vasyl' Orobets,M,SBD,Single-ply,32.5,24-34,Open,165.6,125+,390,220,340,6,1999-11-17,IPF,Men's World Powerlifting Championships
Satoshi Matsubara,M,SBD,Single-ply,20.5,20-23,Juniors,89.1,90,220,175,260,9,1993-10-29,IPF,World Juniors Powerlifting Championships
Cécile Jamin,F,SBD,Single-ply,29.5,24-34,Open,66.2,67.5,192.5,90,207.5,5,1996-06-25,IPF,Women's World Powerlifting Championships
John Beres,M,B,Single-ply,47.5,45-49,Masters 1,142.08,120+,NA,200,NA,5,2015-04-16,IPF,World Masters Bench Press Championships
Collin Rhodes #1,M,B,Single-ply,34,24-34,Open,122,125,NA,265,NA,3,2001-12-07,IPF,World Bench Press Championships
Mervi Sirkiä,F,B,Single-ply,29.5,24-34,Open,51.8,52,NA,92.5,NA,4,2002-12-05,IPF,World Bench Press Championships
Greg Page,M,SBD,Single-ply,44.5,40-44,Masters 1,74.3,75,265,172.5,267.5,1,2008-09-30,IPF,World Masters Powerlifting Championships
Reijo Jaakkola,M,B,Single-ply,54.5,50-54,Masters 2,99,100,NA,162.5,NA,5,2003-04-16,IPF,World Masters Bench Press Championships
Carl Yngvar Christensen,M,SBD,Single-ply,20.5,20-23,Juniors,160.27,120+,425,302.5,355,1,2011-08-30,IPF,World Sub-Juniors & Juniors Powerlifting Championships
George Le Brecque,M,SBD,Single-ply,NA,NA,Masters 2,67.5,67.5,170,135,215,3,1986-10-03,IPF,World Masters Powerlifting Championships
Gip Duggan,M,B,Single-ply,58.5,55-59,Masters 2,136.1,125+,NA,207.5,NA,5,2003-04-16,IPF,World Masters Bench Press Championships
Mathias Schröder,M,SBD,Single-ply,28.5,24-34,Open,118.9,125,320,260,325,9,2005-11-08,IPF,Men's World Powerlifting Championships
József Lakatos,M,B,Single-ply,26.5,24-34,Open,106.8,110,NA,227.5,NA,11,1998-12-11,IPF,World Bench Press Championships
Viktor Karpik,M,SBD,Single-ply,24.5,24-34,Open,123.75,125,402.5,252.5,365,4,2003-11-04,IPF,Men's World Powerlifting Championships
Alexander Koval,M,SBD,Single-ply,16.5,16-17,Sub-Juniors,55.67,56,185,112.5,195,1,2005-09-07,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Mareen Schmeelke,F,SBD,Single-ply,20,20-23,Juniors,51.91,52,152.5,75,135,2,2011-08-30,IPF,World Sub-Juniors & Juniors Powerlifting Championships
David Ricks,M,SBD,Single-ply,41,40-44,Open,81.8,82.5,315,210,305,2,2000-11-15,IPF,Men's World Powerlifting Championships
Eddy Pengelly,M,SBD,Single-ply,30.5,24-34,Open,67.4,67.5,270,152.5,NA,DQ,1980-11-07,IPF,Men's World Powerlifting Championships
Rosemarie Beer,F,B,Single-ply,59.5,55-59,Masters 2,83.7,90,NA,125,NA,1,2005-04-20,IPF,World Masters Bench Press Championships
Marleen Houg,F,B,Single-ply,41.5,40-44,Masters 1,58.5,60,NA,80,NA,4,2001-04-13,IPF,World Masters Bench Press Championships
Wei-Ling Chen,F,SBD,Single-ply,19,18-19,Open,43.8,44,152.5,62.5,165,2,2001-05-24,IPF,Women's World Powerlifting Championships
Min-Chu Hung,F,B,Single-ply,19,18-19,Open,74.6,75,NA,137.5,NA,1,2002-12-05,IPF,World Bench Press Championships
Henrik Franzén,M,SBD,Raw,32.5,24-34,Open,99,105,270,180,302.5,7,2012-06-12,IPF,World Classic Powerlifting Cup
Jie-Wen Chen,F,SBD,Single-ply,17.5,18-19,Sub-Juniors,120.26,90+,212.5,130,185,1,2008-09-01,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Sascha Stendebach,M,SBD,Single-ply,26,24-34,Open,92.13,93,340,265,347.5,3,2017-11-13,IPF,World Powerlifting Championships
Vistimil Peterka,M,SBD,Single-ply,20.5,20-23,Juniors,67.5,67.5,220,127.5,220,17,1996-08-07,IPF,World Juniors Powerlifting Championships
Boguslaw Waszczuk,M,B,Single-ply,19.5,20-23,Juniors,87.8,90,NA,220,NA,3,2009-07-01,IPF,World Sub-Juniors & Juniors Bench Press Championships
Stina Seppänen,F,SBD,Raw,23.5,24-34,Open,71.2,72,125,82.5,132.5,5,2017-07-10,IPF,World University Powerlifting Cup
Hideaki Inaba,M,SBD,Single-ply,55,55-59,Masters 2,53.3,56,232.5,97.5,225,1,1999-10-19,IPF,World Masters Powerlifting Championships
Devan Doan,F,B,Single-ply,14.5,13-15,Open,65.88,67.5,NA,87.5,NA,8,2002-12-05,IPF,World Bench Press Championships
Yulia Chistiakova,F,SBD,Single-ply,17.5,18-19,Sub-Juniors,68.1,75,185,117.5,155,1,2007-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Galsaikhan Myagmarsuren,M,SBD,Single-ply,27,24-34,Open,82.72,83,NA,217.5,280,DQ,2015-11-09,IPF,World Powerlifting Championships
Ron Delany,M,SBD,Single-ply,59.5,55-59,Masters 3,81.92,83,215,142.5,262.5,1,2011-09-26,IPF,World Masters Powerlifting Championships
Kazuma Arai,M,SBD,Single-ply,19.5,20-23,Juniors,52.25,53,180,115,190,2,2015-08-31,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Ken Lam,M,SBD,Single-ply,44.5,40-44,Masters 1,66,67.5,227.5,137.5,NA,DQ,1994-10-19,IPF,World Masters Powerlifting Championships
Jeremy Arias,M,SBD,Single-ply,24.5,24-34,Open,65.5,67.5,247.5,165,NA,DQ,2001-11-15,IPF,Men's World Powerlifting Championships
Antonín Šota,M,SBD,Single-ply,45.5,45-49,Masters 1,133.8,125+,315,212.5,280,1,1993-10-26,IPF,World Masters Powerlifting Championships
Yuko Nagao,F,B,Single-ply,66.5,65-69,Masters 3,54.8,57,NA,40,NA,1,2017-05-22,IPF,World Bench Press Championships
Joachim Lindseth,M,SBD,Single-ply,21.5,20-23,Juniors,101.5,105,362.5,NA,NA,DQ,2014-09-01,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Claude Couturier,M,SBD,Single-ply,63.5,60-64,Masters 3,73.39,74,215,127.5,205,2,2016-10-03,IPF,World Masters Championships
Alex Romankov,M,SBD,Single-ply,20.5,20-23,Open,66.9,67.5,250,140,215,3,2003-04-12,IPF,World Students Cup
Chun-Chiu Yeh,M,B,Raw,30.5,24-34,Open,48,48,NA,92.5,NA,1,1992-12-08,IPF,World Disabled Bench Press Championships
Anni Vuohijoki,F,SBD,Single-ply,22.5,20-23,Open,62.88,63,205,110,185,8,2011-11-08,IPF,World Powerlifting Championships
Andrean Andreev,M,SBD,Single-ply,16.5,16-17,Sub-Juniors,74.2,75,210,145,225,7,2006-09-05,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Yuki Fukushima,M,B,Single-ply,30.5,24-34,Open,81.75,83,NA,282.5,NA,4,2017-05-22,IPF,World Bench Press Championships
Valeria Timoshchuk,F,SBD,Single-ply,26.5,24-34,Open,81.14,84,260,170,212.5,1,2015-11-09,IPF,World Powerlifting Championships
Annelie Izindre,F,SBD,Single-ply,44.5,40-44,Masters 1,60.76,63,165,102.5,137.5,1,2017-10-01,IPF,World Masters Powerlifting Championships
Chiyomi Sawa,F,B,Single-ply,58.5,55-59,Masters 2,66.2,67.5,NA,105,NA,1,2008-04-16,IPF,World Masters Bench Press Championships
Jeannette Gevers,F,SBD,Single-ply,48.5,45-49,Masters 1,62.2,63,170,102.5,162.5,1,2011-09-26,IPF,World Masters Powerlifting Championships
Lisett Buriel,F,SBD,Single-ply,34.5,24-34,Open,55.2,56,175,80,182.5,3,2006-11-05,IPF,World Powerlifting Championships
Jennifer Thompson #1,F,B,Single-ply,31,24-34,Open,59.5,60,NA,132.5,NA,2,2004-12-02,IPF,World Bench Press Championships
Violeta Chebotar,F,SBD,Raw,22,20-23,Juniors,46.14,47,120,82,130,1,2017-06-14,IPF,World Classic Powerlifting Championships
Corbin Mauro,F,SBD,Raw,22.5,20-23,Open,71.4,72,122.5,65,135,6,2017-07-10,IPF,World University Powerlifting Cup
Liliane Boulle,F,B,Raw,72,70-74,Masters 4,45.7,47,NA,40,NA,2,2019-05-18,IPF,World Bench Press Championships
Amandas Paulauskas,M,B,Raw,31.5,24-34,Open,119.42,120,NA,247.5,NA,1,2019-05-18,IPF,World Bench Press Championships
Hisayuki Nakayama,M,B,Single-ply,41.5,40-44,Open,55.2,56,NA,NA,NA,DQ,2005-01-12,IPF,World Open Bench Press Championships
Steven Kearney,M,SBD,Raw,21.5,20-23,Open,104.44,105,242.5,172.5,265,2,2016-07-11,IPF,World University Powerlifting Cup
Tomohiro Ishida,M,SBD,Single-ply,NA,NA,Juniors,90,90,200,120,200,12,1990-09-20,IPF,World Juniors Powerlifting Championships
Dariusz Wszoła,M,B,Single-ply,29.5,24-34,Open,55.8,56,NA,170,NA,2,2008-06-25,IPF,World Bench Press Championships
Raymond Penland,M,B,Single-ply,60.5,60-64,Masters 3,92.62,93,NA,132.5,NA,6,2013-04-18,IPF,World Masters Bench Press Championships
Jun Furukawa,M,SBD,Single-ply,18.5,18-19,Juniors,80.49,83,280,140,260,6,2015-08-31,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Tammy Dianda,F,SBD,Single-ply,32,24-34,Open,73.4,75,190,143,222.5,2,1994-05-25,IPF,Women's World Powerlifting Championships
Ágnes Szabó,F,SBD,Single-ply,24.5,24-34,Super,105.68,72+,222.5,NA,NA,DQ,2013-07-30,IPF,World Games
Sandra Perrone,F,B,Single-ply,29.5,24-34,Open,70.7,75,NA,107.5,NA,5,1998-12-11,IPF,World Bench Press Championships
T. Nagano,M,SBD,Wraps,NA,NA,Open,65.9,67.5,200,135,205,6,1976-11-06,IPF,Men's World Powerlifting Championships
Iryna Shkaraputa,F,B,Single-ply,22.5,20-23,Juniors,49.8,52,NA,95,NA,2,2017-05-22,IPF,World Bench Press Championships
Hana Takáčová,F,B,Single-ply,58.5,55-59,Masters 2,83.8,84,NA,130,NA,1,2013-04-18,IPF,World Masters Bench Press Championships
Jiří Horník,M,SBD,Single-ply,20.5,20-23,Juniors,87,90,270,190,300,7,1999-10-05,IPF,World Juniors Powerlifting Championships
Wilson Martinez,M,SBD,Single-ply,47.5,45-49,Masters 1,103.72,105,265,185,260,11,2013-09-24,IPF,World Masters Powerlifting Championships
Reijo Jaakkola,M,B,Single-ply,53.5,50-54,Masters 2,99.1,100,NA,172.5,NA,5,2002-04-18,IPF,World Masters Bench Press Championships
Tom Kean,M,SBD,Single-ply,35.5,35-39,Open,74.3,75,282.5,190,297.5,4,2008-10-30,IPF,World Powerlifting Championships
Kiril Michailov,M,B,Single-ply,23.5,24-34,Open,87.5,90,NA,230,NA,3,2003-12-05,IPF,World Bench Press Championships
Aimee Jewell,F,SBD,Raw,20,20-23,Open,55.72,57,115,55,140,12,2019-07-22,IPF,University Powerlifting Cup
Ano Turtiainen,M,SBD,Single-ply,28,24-34,Open,109,110,NA,NA,NA,DQ,1995-11-15,IPF,Men's World Powerlifting Championships
John Rankin Jr,M,SBD,Single-ply,69.5,65-69,Masters 4,84.96,93,177.5,95,202.5,3,2017-10-01,IPF,World Masters Powerlifting Championships
Volodymyr Ivanenko,M,SBD,Single-ply,35,35-39,NA,97.2,100,340,182.5,270,7,1990-11-14,IPF,Men's World Powerlifting Championships
Wei-Ti Tseng,M,SBD,Single-ply,17.5,18-19,Sub-Juniors,104.3,110,295,150,300,3,2001-09-16,IPF,World Sub-Juniors Powerlifting Championships
Mike Gardiner,M,B,Single-ply,40.5,40-44,Masters 1,66.55,67.5,NA,147.5,NA,3,2009-04-15,IPF,World Masters Bench Press Championships
Motoki Murata,M,SBD,Single-ply,18,18-19,Sub-Juniors,57.82,59,205,173,190,2,2015-08-31,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Tomoyoshi Shiiki,M,SBD,Raw,52.5,50-54,Masters 2,58.76,59,130,105,150,2,2017-06-14,IPF,World Classic Powerlifting Championships
Tom Collins,M,B,Raw,71.5,70-74,Masters 4,108.73,120,NA,155,NA,3,2018-05-14,IPF,World Classic Bench Press Championships
Arya Ammen,M,SBD,Raw,21.5,20-23,Open,75.55,83,165,92.5,212.5,12,2017-07-10,IPF,World University Powerlifting Cup
Feng-Bin Wu,M,SBD,Single-ply,20.5,20-23,Juniors,55.6,56,197.5,112.5,210,2,1997-09-12,IPF,World Juniors Powerlifting Championships
Namkhaidorj Dash,M,SBD,Single-ply,66,65-69,Masters 3,71.95,74,170,100,180,3,2018-10-02,IPF,World Masters Powerlifting Championships
Jordanne Panton,F,SBD,Single-ply,19,18-19,Juniors,62.15,63,205,97.5,215,2,2018-09-03,IPF,World Juniors & Sub-Juniors Championships
Sascha Wolf,M,B,Raw,41.5,40-44,Masters 1,139,120+,NA,215,NA,5,2019-05-18,IPF,World Bench Press Championships
Chun-Ju Chen,F,SBD,Single-ply,18.5,18-19,Open,43.5,44,157.5,65,162.5,2,2000-05-24,IPF,Women's World Powerlifting Championships
Anna Hourihane,F,SBD,Raw,23,20-23,Open,50.84,52,125,75,145,9,2017-06-14,IPF,World Classic Powerlifting Championships
Dan Martin,M,SBD,Single-ply,42.5,40-44,Masters 1,136.4,125+,280,180,327.5,1,1982-09-04,IPF,World Masters Powerlifting Championships
Tanner Madison,M,SBD,Single-ply,17.5,18-19,Sub-Juniors,61.91,66,195,137.5,212.5,4,2019-08-26,IPF,World Juniors & Sub-Juniors Championships
Ron Garofalo,M,SBD,Single-ply,47.5,45-49,Masters 1,81.5,82.5,292.5,187.5,292.5,2,2009-09-28,IPF,World Masters Powerlifting Championships
Yukako Fukushima,F,B,Single-ply,32.5,24-34,Open,47.1,48,NA,115,NA,1,2003-12-05,IPF,World Bench Press Championships
Lewis Noppers,M,SBD,Single-ply,43.5,40-44,Masters 1,65.7,66,230,150,235,1,2014-09-21,IPF,World Masters Powerlifting Championships
Boris Sendatzki,M,SBD,Single-ply,22.5,20-23,Juniors,74.4,75,210,130,210,5,1991-09-05,IPF,World Juniors Powerlifting Championships
Lutz Stoppa,M,B,Single-ply,39.5,35-39,Open,119.66,125,NA,200,NA,16,2002-12-05,IPF,World Bench Press Championships
Sergei Hala,M,B,Single-ply,22.5,20-23,Juniors,91.3,93,NA,225,NA,3,2011-05-25,IPF,World Bench Press Championships
Sandra Augustiniok,F,B,Raw,18,18-19,Sub-Juniors,68.67,72,NA,87.5,NA,2,2017-04-22,IPF,World Classic Bench Press Championships
Stefan Pruwasser,M,SBD,Single-ply,19.5,20-23,Juniors,84.86,93,NA,190,220,DQ,2012-08-28,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Mikko Ronkainen,M,SBD,Raw,27.5,24-34,Open,82.72,83,250,165,290,3,2015-06-05,IPF,World Classic Powerlifting Championships
Pirjo Savola,F,SBD,Single-ply,28.5,24-34,Open,55.5,56,157.5,75,180,5,1997-06-18,IPF,Women's World Powerlifting Championships
Julie Deakin,F,SBD,Single-ply,34.5,24-34,Open,81.7,82.5,170,NA,NA,DQ,2000-05-24,IPF,Women's World Powerlifting Championships
Nabras Awlad Thani,M,SBD,Single-ply,17.5,18-19,Sub-Juniors,89.2,93,245,155,265,5,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Czeslaw Kedziora,M,B,Single-ply,49.5,45-49,Masters 1,55.8,56,NA,112.5,NA,2,2001-04-13,IPF,World Masters Bench Press Championships
Åsa Halvarsson,F,B,Single-ply,51.5,50-54,Masters 2,76.65,84,NA,105,NA,3,2013-04-18,IPF,World Masters Bench Press Championships
Maria Koteles,F,B,Single-ply,22.5,20-23,Juniors,125.1,84+,NA,130,NA,3,2011-05-25,IPF,World Bench Press Championships
Vince Somodi,M,SBD,Single-ply,20.5,20-23,Juniors,63.8,66,222.5,105,225,6,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Scott Roberts,M,SBD,Single-ply,42.5,40-44,Masters 1,99.6,100,317.5,182.5,280,2,2001-10-17,IPF,World Masters Powerlifting Championships
Julianne Taylor,F,SBD,Raw,59,55-59,Masters 3,51.45,52,90,47.5,112.5,4,2019-06-04,IPF,World Classic Powerlifting Championships
Melinda Lombosi,F,SBD,Raw,33.5,24-34,Open,115.2,84+,132.5,112.5,160,4,2012-06-12,IPF,World Classic Powerlifting Cup
Peter Lehocký,M,SBD,Single-ply,29.5,24-34,Open,67.3,67.5,210,150,235,10,2002-11-13,IPF,Men's World Powerlifting Championships
John O'Dwyer,M,SBD,Raw,62.5,60-64,Masters 3,131.75,120+,200,167.5,200,2,2018-06-06,IPF,6th World Classic Championships
Ganna Kadatska,F,B,Single-ply,28.5,24-34,Open,51.2,52,NA,85,NA,4,2006-05-23,IPF,World Bench Press Championships
Daiva Zaroviene,F,SBD,Raw,49.5,45-49,Masters 2,56.07,57,111,102.5,151.5,1,2015-06-05,IPF,World Classic Powerlifting Championships
Miroslav Koprnicky,M,B,Single-ply,57.5,55-59,Masters 2,98.25,100,NA,177.5,NA,2,2009-04-15,IPF,World Masters Bench Press Championships
Janet Martin,F,SBD,Raw,55.5,55-59,Masters 2,82.02,84,115,47.5,142.5,3,2015-06-05,IPF,World Classic Powerlifting Championships
Vera Holavina,F,SBD,Single-ply,16.5,16-17,Sub-Juniors,65.9,67.5,180,100,155,3,2001-09-16,IPF,World Sub-Juniors Powerlifting Championships
Bill Helmich,M,SBD,Single-ply,74.5,70-74,Masters 4,103.18,105,147.5,137.5,185,3,2017-10-01,IPF,World Masters Powerlifting Championships
Valery Patrikeev,M,B,Raw,32.5,24-34,Open,49.5,52,NA,117.5,NA,3,1997-12-05,IPF,World Disabled Bench Press Championships
Steve Loncke,M,SBD,Single-ply,16.5,16-17,Open,59.1,60,182.5,110,192.5,14,1992-11-19,IPF,World Men's Powerlifting Championship
Yrjö Haatanen,M,SBD,Wraps,NA,NA,Open,55.8,56,175,115,205,2,1976-11-06,IPF,Men's World Powerlifting Championships
Jenis Joseph,F,SBD,Single-ply,18.5,18-19,Open,66.6,67.5,130,52.5,135,10,2006-11-05,IPF,World Powerlifting Championships
John Tyrell,M,B,Raw,NA,NA,Open,40,48,NA,50,NA,3,1991-12-14,IPF,Disabled Bench Press World Championships
Leena Jokitalo,F,SBD,Single-ply,39.5,35-39,Open,51.8,52,155,80,172.5,4,2001-05-24,IPF,Women's World Powerlifting Championships
Aaron Gibes,M,SBD,Single-ply,22.5,20-23,Juniors,171.2,125+,305,197.5,292.5,5,2007-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
David Mlodziawkoski,M,SBD,Raw,44.5,40-44,Masters 1,102.6,105,220,147.5,270,5,2014-06-01,IPF,World Classic Powerlifting Championships
Maria Volkova,F,B,Single-ply,33.5,24-34,Open,66.8,67.5,NA,142.5,NA,2,2006-05-23,IPF,World Bench Press Championships
S.V.S. Kamath,M,SBD,Single-ply,50.5,50-54,Masters 2,59.5,60,200,100,212.5,1,2004-10-05,IPF,World Masters Powerlifting Championships
Tzu-Hui Lin,F,B,Raw,17.5,18-19,Open,74.5,75,NA,105,NA,1,1999-12-09,IPF,World Disabled Bench Press Championships
Mikelina Belaineh,F,SBD,Raw,22.5,20-23,Juniors,70.1,72,147.5,85,177.5,1,2014-06-01,IPF,World Classic Powerlifting Championships
Jennifer Thompson #1,F,B,Raw,43.5,40-44,Open,61.41,63,NA,137.5,NA,1,2017-04-22,IPF,World Classic Bench Press Championships
Mariusz Hintzke,M,B,Single-ply,21.5,20-23,Juniors,97.35,105,NA,320,NA,1,2016-04-19,IPF,World Bench Press Championships
Harry van der Brandt,M,SBD,Single-ply,47.5,45-49,Masters 1,82,82.5,260,160,280,2,1993-10-26,IPF,World Masters Powerlifting Championships
Ivan Belousov,M,B,Raw,17.5,18-19,Sub-Juniors,135.1,120+,NA,177.5,NA,1,2019-05-18,IPF,World Bench Press Championships
Berg Rasmussen Simon,M,SBD,Single-ply,17.5,18-19,Sub-Juniors,92.04,93,265,180,240,2,2017-08-28,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Isabelle Illiev,F,B,Single-ply,51.5,50-54,Masters 2,61.75,63,NA,125,NA,1,2019-05-18,IPF,World Bench Press Championships
Nodar Tatishvili,M,SBD,Raw,27.5,24-34,Open,151.22,120+,285,185,285,14,2016-06-19,IPF,World Classic Powerlifting Championships
Peter Morgan,M,SBD,Single-ply,42.5,40-44,Masters 1,133.2,125+,NA,NA,NA,DQ,1996-10-07,IPF,World Masters Powerlifting Championships
Sergey Gladkikh,M,SBD,Single-ply,21.5,20-23,Open,65.48,66,307.5,200,280,1,2011-11-08,IPF,World Powerlifting Championships
Jordan Major,M,SBD,Raw,17.5,18-19,Sub-Juniors,90.65,93,175,115,210,6,2014-06-01,IPF,World Classic Powerlifting Championships
Pelin Baykal,F,SBD,Raw,41.5,40-44,Masters 1,56.86,57,110,62.5,150,2,2015-06-05,IPF,World Classic Powerlifting Championships
Elín Melgar Aðalheiðardóttir,F,SBD,Raw,21.5,20-23,Juniors,59.35,63,110,72.5,125,8,2014-06-01,IPF,World Classic Powerlifting Championships
Bianca Mourik,F,SBD,Raw,21.5,20-23,Open,56.49,57,115,60,132.5,7,2018-07-09,IPF,3rd World University Powerlifting Cup
Charlie Clements,M,SBD,Raw,20.5,20-23,Open,91.28,93,250,125,272.5,10,2019-07-22,IPF,University Powerlifting Cup
Rie Kani,F,SBD,Raw,34,24-34,Open,46.5,47,107.5,72.5,145,2,2014-06-01,IPF,World Classic Powerlifting Championships
Shen-Yu Chen,M,SBD,Single-ply,20.5,20-23,Juniors,74.4,75,220,135,220,12,2000-09-13,IPF,World Juniors Powerlifting Championships
Thomas Stenlund,M,SBD,Single-ply,26.5,24-34,Open,133.05,125+,335,200,340,3,1985-11-07,IPF,Men's World Powerlifting Championships
Orhan Bilican,M,SBD,Single-ply,24.5,24-34,Open,99,100,350,215,280,7,2003-11-04,IPF,Men's World Powerlifting Championships
Marcela Sandvik,F,B,Single-ply,38.5,35-39,Open,51.45,52,NA,115,NA,3,2013-05-20,IPF,World Bench Press Championships
Sergii Bilyi,M,SBD,Single-ply,17.5,18-19,Sub-Juniors,81.3,82.5,285,195,285,1,2008-09-01,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Garrett Bentley,M,SBD,Single-ply,29.5,24-34,Open,127.1,120+,372.5,247.5,270,10,2018-11-05,IPF,48th World Open Championships
Sanna Apuli,F,SBD,Single-ply,30.5,24-34,Open,50.78,52,162.5,87.5,167.5,8,2012-11-10,IPF,World Powerlifting Championships
Roman Ogorodnik,M,B,Single-ply,23.5,24-34,Open,89.1,93,NA,277.5,NA,4,2013-05-20,IPF,World Bench Press Championships
Ivaylo Hristov,M,B,Single-ply,30.5,24-34,Open,109.7,110,NA,282.5,NA,6,2010-05-24,IPF,World Bench Press Championships
Hiroshi Utsugi,M,SBD,Single-ply,17.5,18-19,Sub-Juniors,72.9,74,242.5,135,220,7,2014-09-01,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Hanna Rantala,F,SBD,Single-ply,22.5,20-23,Juniors,51.86,52,152.5,105,157.5,3,2005-09-07,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Tobias Haas,M,B,Single-ply,16.5,16-17,Sub-Juniors,57.3,59,NA,117.5,NA,3,2011-05-25,IPF,World Bench Press Championships
John Pineda,M,SBD,Raw,22.5,20-23,Juniors,52.1,53,142.5,122.5,192.5,1,2019-06-04,IPF,World Classic Powerlifting Championships
Nicole Iden,F,SBD,Single-ply,39.5,35-39,Masters 1,61.45,63,137.5,77.5,130,4,2018-10-02,IPF,World Masters Powerlifting Championships
Mike Duffy,M,SBD,Single-ply,NA,NA,NA,90,90,285,185,290,4,1985-08-03,IPF,World Games
Andrei Shinkarenko,M,SBD,Single-ply,NA,NA,Masters 1,75,75,160,90,205,8,1992-09-03,IPF,World Masters Powerlifting Championships
Kouichi Nakatani,M,B,Single-ply,48.5,45-49,Masters 1,98.4,100,NA,NA,NA,DQ,2009-04-15,IPF,World Masters Bench Press Championships
Jeremy Rodriguez,M,SBD,Raw,20.5,20-23,Open,73,74,185,100,237.5,6,2017-07-10,IPF,World University Powerlifting Cup
Pavel Zayats,M,SBD,Raw,18.5,18-19,Juniors,52.35,53,100,85,115,3,2014-06-01,IPF,World Classic Powerlifting Championships
Antoinette Kemper,F,B,Single-ply,48.5,45-49,Masters 1,55.43,57,NA,82.5,NA,5,2013-04-18,IPF,World Masters Bench Press Championships
Lili Szabo,F,B,Raw,17.5,18-19,Sub-Juniors,67.19,72,NA,75,NA,2,2018-05-14,IPF,World Classic Bench Press Championships
Alex Galant,M,SBD,Single-ply,67.5,65-69,Masters 3,58.52,59,115,55,135,1,2015-09-28,IPF,World Masters Powerlifting Championships
Veronika Opočenská,F,SBD,Raw,17.5,18-19,Sub-Juniors,54.36,57,90,57.5,112.5,9,2017-06-14,IPF,World Classic Powerlifting Championships
John Powell,M,SBD,Single-ply,NA,NA,NA,98.8,100,275,172.5,270,12,1991-11-14,IPF,Men's World Powerlifting Championships
Erik Rasmussen,M,B,Single-ply,40.5,40-44,Masters 1,74.8,75,NA,167.5,NA,2,2003-04-16,IPF,World Masters Bench Press Championships
Aaron Lohan,M,B,Single-ply,30.5,24-34,Open,82.66,83,NA,205,NA,10,2014-05-20,IPF,World Bench Press Championships
Irani Barbosa,F,SBD,Single-ply,20.5,20-23,Juniors,51.3,52,140,62.5,132.5,5,2007-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Claudir Soares,M,SBD,Single-ply,55.5,55-59,Masters 2,104.7,110,240,212.5,210,2,1998-10-06,IPF,World Masters Powerlifting Championships
Haruka Tomiyama,F,B,Raw,28.5,24-34,Open,50.62,52,NA,95,NA,5,2019-05-18,IPF,World Bench Press Championships
Cathleen Mele,F,SBD,Raw,51.5,50-54,Masters 2,61.57,63,110,72.5,170,2,2018-06-06,IPF,6th World Classic Championships
Zaneta Possehl,F,B,Raw,41,40-44,Masters 1,60.35,63,NA,72.5,NA,6,2019-05-18,IPF,World Bench Press Championships
Marcos Martinez,M,SBD,Single-ply,32.5,24-34,Open,88.36,90,350,NA,320,DQ,2008-10-30,IPF,World Powerlifting Championships
Alexander Moiseev,M,SBD,Single-ply,59.5,55-59,Masters 3,58.22,59,165,95,170,1,2014-09-21,IPF,World Masters Powerlifting Championships
Urban Mur,M,SBD,Raw,25,24-34,Open,73.87,74,235,155,245,11,2018-06-06,IPF,6th World Classic Championships
Fröde Gundersen #1,M,SBD,Single-ply,27.5,24-34,Open,89.6,90,315,192.5,307.5,4,1995-11-15,IPF,Men's World Powerlifting Championships
